ałtsʼíísí	a little
bee hahoolzhiizhígíí	origin
ałtsé alyaaígíí	original
hamá dóó hazheʼé ádingo	orphan
nááná łaʼ	other
nááná łah átʼéego	otherwise
nihí	our
Nihinaanish íinéhígíí: dinéʼ tʼáá ałtsoh hazʼą́ą́góó díí nahasdzáán yaaʼákonízingo yikʼiʼdiitįįh dóó saad tʼáá ałʼąą ádaatʼéhígíí yee ałhxił halneʼgo ádoolnííł.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Nihinaanish íilnéhígíí: nahasdzáán tʼáá náhwiizʼą́ą́ nítʼę́ę́ʼ bee baa haneʼí ałkééʼ nidooʼnił dóó tʼáá ałtsohjįʼ diné bee bichʼįʼ báʼahootʼiʼ dóó choyoołʼį́h biniiyé.	Our mission: to organize the world's information and make it universally accessible and useful.
ałtsoh ályaago	outcome
ééʼ biiʼ náʼanahígíí	outfit
ayóo hwáhózhǫ́ǫgo	outgoing
ayóo báhózhǫ́	outgoing
naalyéhí bádahooghan	outlet
bá nahasdzoh	outline
tłʼóógóó	outside
tłʼóoʼdi	outside
nizhónígo aʼjiłį́	outstanding
chʼiyáán biyiʼ yitʼeesígíí	oven
dząądí	over there
tʼáá átʼéénéeʼgo	overall
bilájiyá	overcome
ádił nitsáhákees	overthinking
adeʼáhoodzaa	overwhelmed
adił nitsáhákees	overwhelming
hwił yaa nináhádááh	overwhelming
tʼáá haʼátʼííshį́į́ haʼínilgo nátʼą́ą́ nináʼilyéhígíí	owe
néʼashjaaʼ	owl
shí	own
bí	own
bíhígíí	owner
béégashii ałchiní	ox
tsxį́įłgo bee hoolzhishígíí	pace
hxééł ályaa	pack
tʼáá haʼátʼííshį́į́ bił asdisgo	package
naʼilyá	paid
diniih	pain
dleesh	paint
hojidleesh	painting
naakigo	pair
yigai	pale
alátłʼááh	palm
tseeʼí	pan
nitsihodinídéélgo hooʼah	pandemic
nijildzid	panic
tłʼaajįʼééʼ	pants
naaltsoos	paper
hózhǫ́ǫgo hazʼánígíí	paradise
nanoolzheeʼ	parallel
ałhxą́ą́h ídzoh	parallel
tʼáá haʼátʼííshį́į́ naaltsoos bił yisdisgo bił éʼalnéhígíí	parcel
aaníʼdeetʼaah	pardon
amá dóó azheʼé	parents
hodootłʼizhgi	park
tsídii yáłtiʼí	parrot
chʼil	parsley
tʼáá haʼátʼííshį́į́ łahdóó átʼéhígíí	part
bee atah jilį́	participate
tʼáá haashį́į́ yitʼéé shį́į́	particular
tʼáá haashį́į́ yitʼééshį́į́	particularly
yił naalnishígíí	partner
yił naaʼaashígíí	partner
daʼadą́h	party
daʼjiyą́	party
bitis	pass
bilááh	pass
haneʼ	passage
bíighah góneʼ dahodiitʼiʼ	passed
hwił yáʼátʼééh	passion
baa ájąʼjolníh	passionate
tʼáá bíʼnidii áhooníłígíí	passive
saad bee yah ahóótʼiʼígíí	password
ałkʼidą́ą́ʼ	past
bidániʼdeetʼą	patch
atiin	path
hahojoobáʼígo	pathetic
ahwishdéeszééʼ	patience
nábidiʼnélʼįįhí	patient
ałkééʼ honiʼą́ągo bee éʼalną́hígíí	pattern
bikʼehgo áʼalʼíní	pattern
neʼ adzaa	pause
ildléézh	pavement
bikʼéh naʼilyé	pay
tʼáá haʼátʼííshį́į́ bikʼeh naʼilyá	payment
hodéezyéél	peace
kʼé hwiinidzin	peace
hodéezyéél	peaceful
didétsoh	peach
dahatsʼos	peak
chʼil łitsooí betseeʼ hólónígíí	pear
naaʼółí nimazí	peas
tʼóó haashį́į́ yitʼé	peculiar
łizh	pee
bedǫ́ǫ́s	peel
diné tʼáá ałhxąąh naniseʼígíí	peer
diné bił ałhxąąh nidazhniseʼígíí	peers
bee naʼadzooí	pen
bee akʼeʼalchíhí	pencil
tʼáhdii baa hoolzhíísh	pending
tʼáhdii bichʼįʼ oolzhish	pending
diné	people
azeeʼ díchʼííʼ łibáhí	pepper
bikʼizhdiitįįh	perceive
baa nitsíjikeesígíí	perception
nizhóní	perfect
tʼáá haʼátʼííshį́į́ ajilééh	perform
bee aʼjilééh	performance
ją́ą́shį́į́	perhaps
dah alzhin	period
tʼáá átʼéegi átʼéhígíí	permanent
bee há ląʼ adoodleełígíí wokeed	permission
naaltsoos bikʼehgo tʼáá haʼátʼííshį́į́ alnéhígíí	permit
izhą́ shį́į́ nanitłʼah nidi tʼáá ádoonííł	perseverance
bee jizínígíí bee aʼjilééh	persistent
diné	person
tʼóó hó jizínígi hodeetʼiʼígíí	personal
haʼátʼeʼ dóó ájitʼéhígíí	personality
tʼáá hó baa nitsíjikeesígíí	perspective
abijiníigo adzaa	persuade
dinéʼ tʼóó baaʼihgo nitsékeesígíí	pervert
łį́į́ʼ	pet
biyiʼ hoolzhishígíí	phase
doo ééhozingóó áhoonííł	phenomenon
haneʼ bee nidaʼnitinígíí	philosophy
béésh bee haneʼí	phone
ééʼalyaaígíí	photo
saad bee haʼoodzíiʼgo	phrase
atsʼíís bee nijigháhígíí	physical
bikʼih hodiiniiʼ	pick
nizhdiiʼaah	pick up
ééʼalyaaígíí	picture
naʼashchʼąąʼ	picture
bidooltsʼiʼgo	piece
tʼáá haʼátʼííshį́į́ ádaałtsʼíísígíí	pieces
bisóodi	pig
hisbídí	pigeon
táadooleʼé yanáaʼáh	pile
tsiiʼááł	pillow
chidí naatʼaʼí neiłtʼaʼí	pilot
iłdah nátį́hį́	pin
bilasáana diwozhí	pineapple
dinilchííʼ	pink
ahoodzą́h	pit
ajiisghan	pitch
aahojoobaʼ	pity
hazʼánídi	place
hazʼą́ądi	place
nahazʼą́ą́góó	places
naałniih	plague
doo naashchʼąąʼ da	plain
nahatʼá	plan
chidí naatʼaʼí	plane
naniseʼ	plant
chʼil	plants
asaaʼ bikááʼ adání	plate
dah náhastʼánígi	platform
naʼaʼné	play
naʼané	playing
nizhóní	pleasant
tʼáá shǫǫdí	please
hwił yáʼátʼééh	pleased
bee ił hózhǫ́	pleasure
bee ádeehazhdoodzííʼ	pledge
ląʼí dah	plenty
baa haneʼígíí	plot
baaʼiiltʼééh	plug
chʼil naʼatłʼoʼiitsoh	plum
tó bá nidaʼatsih yinaalnishí	plumber
tʼáá haʼátʼííshį́į́ ląʼígo	plural
yátiʼgo doodago sin bikʼih niiʼnííł	podcast
haneʼ yázhí	poem
haneʼ yázhí hadadilyaaígíí	poetry
dah aʼtsih	point
beʼajił	poison
silao	police
bee hazʼáanii bikʼehgo nidaʼanishígíí	policy
haʼáhwiinítʼį́	polite
tʼáá haʼátʼííshį́į́ baaʼih yileeh	pollution
tó siyį́h	pond
tó biyiʼ naʼalkǫ́ʼígíí	pool
chąąʼ	poop
tʼáá hajoobááʼí	poor
dilchosh	pop
bééhoʼdilzin	popular
diné ánéeltʼeʼígíí	population
bisóodi bitsįʼ	pork
tóshchíín	porridge
tsinaaʼeeł dah nidaaʼeełígi	port
niitánígíí	position
siʼánígíí	position
hózhǫ́	positive
hó silį́įgo	possess
tʼáá haʼátʼííshį́į́ hóhígíí	possession
hógo	possessive
tʼáá bíighah	possible
tsin iiʼáh	post
náás deestʼą́h	postpone
nimasii	potato
baaʼahodlíh	potential
dahidédloʼígíí	pound
teʼeʼį́h	poverty
adziil	power
ayóí ábóodziil	powerful
tʼáá ákotʼée łeh	practical
nabíʼnitaah	practice
haahaʼniih	praise
aahojiniih	praise
tʼóó ił naʼané	prank
tʼóó aaʼoodloh	prank
tsodizin	pray
baa hastiʼ	precious
tsʼídá tʼáá ákwii átʼéhígíí	precise
tsʼídá tʼáá ákotʼé	precisely
náasdi áhodooníłígíí baa haneʼ	predict
áájígo dooleeł	prefer
tʼáá haʼátʼííshį́į́ jinízinígíí	preference
ootsą́h	pregnant
diné jijoołá	prejudice
diné bázhdoolnih	prejudice
hazʼánígi	premises
béeso áchʼą́ą́h naaʼnil bikʼéh nahalyéhígíí	premium
hashtʼeʼ ázdólzinígíí	preparation
hashtʼeʼ ázdolzin	prepare
hashtʼeʼ ázdolzin	prepared
saad bee yátiʼgo háadi adzaaígíí baa haneʼ	preposition
ákweʼé hojilǫ́h	presence
kʼad	present
kǫ́ǫ́h	present
diné bił ííshjání eʼelnééh	presentation
baa hą́ą́h hwiinidzin	preserve
naatʼáanii aląąjįʼ dah sidáhígíí	president
yaago bizhdeelchidgo	press
níłchʼih bidziilígíí	pressure
tʼóó ahatʼį́	pretend
nizhóní	pretty
bitsʼąą áhatʼį́h	prevent
akéediígíí	previous
naaldlooshii dah biʼdoodį́łígíí	prey
bą́ą́h alʼínígíí	price
ádéíjódlíh	pride
diyin bizaad yaa halneʼí	priest
alą́ąjįʼ	primary
tsʼídá áłtsé átʼéhígíí	prime
chʼikę́ę́h nizhóní	princess
óltaʼ binaatáanii	principal
alʼą́ąjįʼ	prior
aląąjįʼ nahaaʼnilígíí	priority
awáaliyah	prison
tʼáá hó tʼéíyá hwił bééhozingo	privacy
tʼáá sahdii ajiltéhígíí	privacy
tʼáá hótʼée yá hwil bééhozin	private
doo háída bee bił haneʼ da	private
tʼáá haʼátʼííshį́į́ yéego ilį́įgo bee háʼahootʼiʼígíí	privilege
woobiihígíí	prize
shąʼshin	probably
anáhootʼiʼ	problem
bikʼehgo niʼdoonishígíí	procedure
náás hoolzhish	proceed
ałkéé dahoniʼą́ągo binaʼanishígíí	process
binaʼanish	process
naniseʼ chʼiyáán	produce
tʼáadooleʼé alyaaígíí	product
tʼáá haʼátʼííshį́į́ ałtsoh ádaayaaígíí	production
hwinaanish ájiłʼínígíí	profession
honaanish yéego bééhojisingo ájiłʼínígíí	professional
bee baa haneʼí	profile
béeso binahjįʼ ályaaígíí	profit
bohónéedzą́h	profound
tʼáá íiyisíí nizhóní	profound
náás hoolzhishígíí	progress
naanish alnéhígíí	project
yéego bóholnííh	prominent
bee ádáhwijiilʼah	promise
naanish biyiʼ náás ahoʼdooltʼeʼgo	promote
naanish biyiʼ náás ahoʼdiltʼeehígíí	promotion
binahjįʼ haneʼígíí	prompt
ayoochʼííd	prone
saad bee yátiʼgo daabíhígíí bee wójíh	pronouns
saad wóltaʼgo bee ajinínígíí	pronunciation
binahjįʼ bee ééhozinígíí	proof
tʼáá ákotʼéego bee hazʼą́	proper
shąʼshin	properly
kéyah hadahasdzooígíí	properties
daahóhígíí	property
naaltsoos bee ókeedgo hadilyaaígíí	proposal
nawolnínígíí	prospect
asah naʼadáh	prosperity
akʼihojidlíh	prosperous
baa hą́ą́h hasin	protect
hxééhwiinidzin	proud
ją́ą́shį́į́ ííshjání alnééh	prove
hólǫ́ǫgo áálzin	provide
hólǫ́ǫgo áyosin	provide
hólǫ́ǫgo alyaa	provided
kéyah bił hahoodzooígíí	province
choidooʼįįłígíí chóoztʼeʼ	provision
teʼiʼį́h	puberty
hasdlą́ądi	public
hasdlą́ągi	public
deeztsʼǫ́ǫ́d	pull
naayízíłchííʼ	pumpkin
bee nihootʼání góneʼ áadi biniiyé naʼadá	punctual
nooséłí	pupil
nahaniih	purchase
doo bąąh chxin da	pure
tsédídéehgo dootłʼizh	purple
biniinaaígíí	purpose
biniiyéhígíí	purpose
béeso bizis	purse
bizhneeshnish	pursue
jinoołchééł	pursuit
biʼdeesgil	push
bee áʼadahaztʼiʼígíí	qualification
yéego atisgo átʼéhígíí	quality
anéeltʼeʼígíí	quantity
tʼáá sahdii asdáago	quarantine
ałchʼįʼ saad hojiłǫ́	quarrel
naakiyáál	quarter
asdzání naatʼáanii	queen
diigis	queer
naʼídikid	query
naʼídikid	question
idzoh	queue
tsxį́įłgo	quick
tʼáá tsxį́įłgo	quickly
doo íitsʼaʼí da	quiet
holchxóón	quilt
tʼóó neʼ adzaa	quit
tʼóó neʼ ajiilaa	quit
kʼasdą́ą́ʼ	quite
bee nináʼídikid	quiz
tʼáá haishį́į́ saad yee haadzíigo naasdzooígíí	quotation
haʼoodzííʼ bee ályaa	quote
saad bee hadaʼiisdzíʼígíí	quotes
gah	rabbit
ałhazhdikááh	race
ałʼąą dineʼé	race
yéego áhachxįʼ	rage
nahałtin	rain
biyaa hooʼaah  as in raising a child	raise
dego ályaa  as in raising something	raise
biyaa hooʼaʼ	raised
biyaa hojiiłʼaʼ	raised
yíwod	ran
tʼáá haitʼéé shį́į́	random
haanídzahjįʼ bee hazʼą́	range
tʼóó hónishgháníjįʼ tsxį́įłgo ádzaago	rapid
tʼáá naʼnileʼdii tsxį́įlgo	rapidly
doo áłahahjįʼ da	rare
doo tʼáá ałhxą́ąh da	rarely
akááʼ niʼníkę́ę́z	rash
łeʼatsoh	rat
bą́ą́h alʼínígíí	rate
haashį́į́ néeltʼeʼgo haadzooígíí	ratio
biniinaanii	rational
tʼáá łichíiʼ	raw
bíighah ájiilaa	reach
baaʼídzáh	reached
hatah áhoolaaígíí	reaction
wóltaʼ	read
naaltsoos wóltaʼ	reading
hashtʼeetʼé	ready
tʼáá anínígíí	real
tʼáá aníinii	reality
baaʼákozhniizį́į́ʼ	realize
baaʼákohwiiniidzį́į́ʼ	realized
yéego	really
bikéedi	rear
biniinaa	reason
tʼáá bíighah	reasonable
bééjiliniih	recall
naaltsoos bikʼeh niʼjiilnihígíí	receipt
nidiilyá	receive
nídiiʼnil	received
nídiilyá	received
tʼáá aniid	recent
tʼáá aniidígo	recently
daʼadą́	reception
bikʼeh chʼiyáán alʼínígíí	recipe
tʼáá naʼnileʼdii	reckless
bee hwééhoʼdoolzįįhígíí	recognition
bééhoozin	recognize
díidi shąʼ jiníigo bee hajoodzííʼ	recommend
baa haʼniihgo baa chʼóhootą́	recommended
bikʼih niiʼnííł	record
bikʼínaʼneestą́ą́ʼ	recover
hashtʼeʼ nináʼidááh	recovery
dikʼą́ągo heeneez	rectangle
łichííʼ	red
nídiiʼnííł	redeem
nídiilyé	redeem
hwaaníʼditʼaah	redemption
béé dooʼnił	reduce
nátʼą́ą́ʼ ánalyaa	reduce
tʼááłáhígi átʼéego hááhatʼééh	redundant
bichʼįʼ baa naʼnitáh	refer
binahjíʼ éédahozinígíí	reference
ninánélʼį́įgo binahjįʼ nitsáhákees	reflect
ninánéélʼį́įgo binahjįʼ baa nitsáhákeesígíí	reflection
diné tʼáá haʼátʼííshį́į́ ííléehgo neʼ ajilaago	refrain
biiʼ azkʼazí	refrigerator
biiʼ atiní	refrigerator
béesó nátʼą́ą́ʼ aanáʼníłígíí	refund
dooda hwiinidzin	refuse
doosh niizį́į da	refused
baa haneʼígíí	regard
binahjįʼ haneʼígíí	regard
baa náhátʼínígíí	regarding
izhą́shį́į́ ákotée nidi	regardless
baa hwiinítʼínígíí	regards
baa yátiʼígíí	regards
bił hahoodzooígíí	region
hadilnééh	register
doodadoo nítʼę́ę́ʼ	regret
tʼáá ákotʼéhígíí	regular
tʼáá ahooníłígi átʼéego	regularly
dooda hoʼdooʼniid	reject
hodeetʼiʼgo	relate
bideetʼiʼ	related
akʼéí	related
iiná alnééh	relationship
diné bił ałhééhojilzinígíí	relationship
hakʼéí	relative
akéí	relative
hakʼéí	relatives
hazhóʼó jizdáh	relax
biʼilniiʼ	release
biʼilniiʼ	released
bideetʼiʼígíí	relevant
baʼahódlíigo	reliable
hwiiʼhááhwiisdoh	relief
hwaahodiildoh	relieve
hwiiʼhááhwiisdzol	relieved
oodląʼ	religion
oodląʼ	religious
bichʼįʼ neʼjilį́	reluctant
baaʼahodlíh	rely
yidziih	remain
yidziihígíí	remaining
nizhóní	remarkable
azeeʼ ąąh álʼínígíí	remedy
bééhaniih	remember
bééjoolnííh	remind
bee éénihoʼdiyiilníhį́	reminder
tʼáá sahdii hazʼą́	remote
nahjįʼ kólyaa	remove
ákaʼajilyeed	render
aʼítą́ągo bikʼéh naʼiilyé	rent
hashtʼéé jidlééh	repair
hashtʼe nálnééh	repair
ánáánályaago	repeat
bitsáskʼeh anályé	replace
nátʼą́ą́ʼ náhaneʼ	reply
nátʼą́ą́ʼ hááʼoodzííʼ	reply
baa náhooneʼ	report
naaltsoos bee haʼdítʼéhígíí	report
bá jizínígíí	represent
bee jizínígíí	reputation
bee hwił áhootʼéhígíí	reputation
wókeed	request
bee hazʼą́	require
bee hazʼą́	required
nizhdinidáahgo bee ákaʼeʼeyeed	rescue
naʼalkaah	research
bináłtʼéh	resemble
doo nidzin da	resentment
bee nihootʼą́ągo	reservation
ánalzį́į́h	reserve
diné bighanígíí	resident
bitsʼá jiníyá	resign
tʼáá haʼátʼííshį́į́ bee achʼįʼ anáhatʼihgo bichʼįʼ haʼahóníh dóó bee adziilígíí	resilience
anáhootih haleego bichʼįʼ haʼahonínígíí	resilient
doo íinizin da	resist
doo áhwiinidzin da	resist
doo áhwiinidzin da	resistance
naaltsoos bee nihootʼą́ągo hadilyaaígíí	resolution
hashtʼeedzaa	resolve
daʼnijah bił hazʼą́ągi	resort
chooʼį́įgo binahjįʼ tʼáá haʼátʼííshį́į́ alnééh	resources
ił ídlį́	respect
nátʼą́ą́ʼ náháneʼ	respond
bee haneʼ ánalyaaígíí	response
bee náhooneʼígíí	response
hodeetʼiʼígíí	responsibility
hodeetʼiʼ	responsible
hááʼayį́į́	rest
hazhóʼó háánilyį́į́h	rest in peace
daʼjiyání bił hazʼánígíí	restaurant
hashtʼe nályaa	restore
baa hóchįʼ	restrict
bee ééhozinígíí	result
bikʼíʼneestą́ʼígíí	results
hanínááhalzhíísh	resume
íiyisíí bą́ą́h alʼínígíí	retail
tʼáá hweehólǫ́ǫgo	retain
béé jilniihígíí	retention
naanish woozbą́h	retired
nátʼą́ą́ʼ ádzaa	retreat
nídiilyá	retrieve
nátʼą́ą́ʼ analyaa	return
ííshjání ádzaa	reveal
ííshjání ályaa	revealed
akééʼnaʼiidá	revenge
béeso alyaaígíí	revenue
nátʼą́ą́ʼ ánályaa	reverse
ninánelʼį́h	review
ninánelʼį́h	revise
ninánéélʼį́įgo łahgo ánályaa	revision
tʼáá hooshchʼįʼ łahgo átʼįįh	revolution
bee ééhoʼdoolzįįhígíí	reward
asaaʼ diitʼaʼígíí	rhythm
íítsą́ą́ʼ	rib
alóós	rice
atʼį́	rich
biʼilnííh	rid
hwił ilwoł	ride
tʼóó nihxǫʼí	ridiculous
nishnáájí  as in right side	right
tʼáá ákotʼé	right
kʼad	right now
ayóo niłdzil	rigid
yoostsah	ring
bąąh naaleeł	rinse
chʼahooshkał	riot
yizdlad	rip
neestʼą́h	ripe
dego ídzaa	rise
bee achʼįʼ anáhodootʼih nawolnígíí	risk
tʼááłáʼígíí baa ahaajiyeetʼash	rival
tooh	river
atiin	road
chidí beʼatiin	road
biiʼatʼeesí biyiʼ atʼees	roast
yéego bidziilgo	robust
tsé	rock
béésh	rod
honaanish ájiłʼínígíí	role
yimas	roll
hooghan bikáaʼdi	roof
hooghan bikáaʼgi	roof
hazʼą́h	room
chʼil bikétłʼóól	root
tłʼóół	rope
dííłdzid	rotten
dííkʼǫsh	rotten
dichʼíízh	rough
tʼáá naʼnileʼdii	roughly
nímaz	round
atiin	route
ałkééʼ dahoniʼą́ągo hoolzhishígíí	routine
ałkééʼ nitʼiʼ	row
ałkééʼ sinil	row
bizhdilnih	rub
jeeh díghází	rubber
tʼáá ádzaagóó	rubbish
doo yáʼájitʼéeh da	rude
diyogí	rug
neʼgóó sikaadígíí	rug
yichxǫʼ	ruin
bee hazʼáanii	rule
bee íʼneelʼąąhį́	ruler
bee hazʼáanii	rules
yiwoł	run
yilwoł	running
tʼáá náhwíizánídi	rural
tʼáá náhwíizánígi	rural
tsxį́įłgo	rush
azis	sack
diyin	sacred
tʼáá hó ájitʼéego	sacrifice
siʼah	safe
nizhónígo niłniʼdootʼah	safe flight
siʼah naʼadáh	safety
tsʼah	sage
dííniid	said
naatʼą́hí nibaal	sail
ooʼoł	sailing
biniiyéhígíí	sake
nináhaháago béeso alʼínígíí	salary
nahaniih	sale
łóóʼ	salmon
ashįįh	salt
ałhxeełtʼé	same
kweʼé ałdó ákotʼé	Same here
binahjįʼ átʼéhígíí	sample
łeezh	sand
tʼáá aaʼoodlohgo yátiʼígíí	sarcastic
tʼáá aanáhatʼį́įgo yátiʼígíí	sarcastic
hwił hózhǫ́	sassy
asdáh nítʼę́ę́ʼ	sat
hwił yáʼátʼéhígíí	satisfaction
baa hwił hóxhǫ́	satisfied
hwił yáʼátʼééh	satisfy
hwił yáʼátʼééh	satisfying
Damóo Yázhí	Saturday
achʼííʼ	sausage
doo yistiʼii	savage
ą́nasdzįįd	save
iiltsąh	saw
aní	say
bee dah áʼdiileehí	scale
inaʼadloʼ	scam
sid	scar
áádįįł	scarce
náhadzid	scared
zéédeełdoi	scarf
bááhadzid	scary
nikeelʼáago	scattered
ahootʼéhígíí	scene
nilááhgóó áhootʼéhígíí	scenery
halchiní	scent
bee nihootʼą́	schedule
óltaʼ	school
naʼalkaahgo binahjįʼ óhooʼaah	science
naʼałkaahí	scientist
nidaʼałkaahí	scientists
béésh ałhédiłí	scissors
hachʼįʼ hoʼdishké	scold
hojishkéh	scold
hazʼánígíí nélʼį́h	scope
háʼiidzohígíí	score
dabííʼohígíí	scrap
yichʼid	scratch
hazhdoolghaazh	scream
biyiʼjįʼ naʼalkidí	screen
ił adaʼagizí	screw
saad naasdzoh	script
tó niteel	sea
bidaʼdeedléézh	seal
naʼnitáh	search
ałʼąą anáhooʼníłígíí	season
bikááʼ dah asdáhí	seat
naaki góneʼ	second
tʼáá haʼátʼííshį́į́ nanilinígíí	secret
dah naazhjaaʼígíí	section
siiʼhasin	secure
aaʼáhayą́	security
aaʼáhalyání	security
nélʼį́įgo	see
jooʼį́įgo	see
neeshʼį́h	see you
hahgo shį́į́ náániideetsééł	see you later
tʼáá hahgo shį́į́ náániideestsééł	see you soon
yiską́ągo náániideestsééł	see you tomorrow
kʼeelyééh	seed
haʼnitáh	seek
haʼdéestʼííʼ	seek
nahalin	seem
nahalin	seems
néélʼį́į́ʼ	seen
yikáh deezhchid	seize
atah hoditsʼiz yileehgo	seizure
łah da	seldom
bikʼih hodiiniiʼ	select
tʼáá hó	self
tʼáá hó níjiłdziih	self healing
doo hwił hadleeʼ da	selfish
nahaniih	sell
biʼilniiʼ	send
nééʼalyaaígíí shichʼįʼ anilééh	send me your picture
ółtaʼí naakitsʼáadah yółtaʼígíí	senior
hastoí dóó sáanii náás silį́ʼígíí	senior
hatsʼíís baʼátʼeʼ	sense
hodeetʼiʼ	sensible
ahaní jizʼą́	sensitive
bił éʼalyaa	sent
saad bee haʼoodzíigo yisdzohígíí	sentence
saad bee haʼoodzííʼ naasdzogo	sentences
ałtsʼááʼnil	separate
Bineʼanitʼą́ą́tsoh	september
ałkééʼ honiʼą́	sequence
ałkééʼ silnilígíí	sequence
ałkééʼ bee ádaʼalyaaígíí	series
ałkééʼ dah naazhjaaʼígíí	series
tʼáá aníí ahaʼní	serious
tʼáá aníí áhwiinidzin	serious
tʼáá aníigo	seriously
bá naʼanish	serve
bee ákaʼeʼeyeed	service
bił náhootʼaahígíí	session
bee nihootʼą́ nijiniʼą́h	set
hahodilnééh	set up
háadi dóó hádą́ą́ʼ	setting
adił hooʼaʼ	settle
tsotsʼid	seven
tsostsʼidtsʼáadah	seventeen
tsostsʼidiin	seventy
dikwíida	several
yéego ádzaa	severe
nálkad	sew
chashoh	shade
hachahaʼoh	shadow
jigháád	shake
ałtʼą́ą́ʼí	shallow
baa yáhasin	shame
haashį́į́ yitʼéego naashchʼąąʼígíí	shape
ałhxeeltʼéego chooʼį́h	share
deení	sharp
hááhaashchiiʼ	sharp
bí	she
bí éí	she has
bí éí	she is
shashoh	shed
dibé	sheep
naaltsoos	sheet
dah azáh	shelf
yoosdísí	shell
hooghan	shelter
áchʼą́ą́h naatʼáhí	shield
hideesnááʼ	shift
disxǫs	shine
bił éʼélyaa	ship
tsinaaʼeełtsoh	ship
bił éʼélnééh	shipping
dejįʼ ééʼ	shirt
ké	shoes
adiildǫǫh	shoot
niʼjiiłniih	shop
niʼjiiłniih	shopping
tábąąh	shore
ałtsʼíísí	short
biʼoh silį́į́ʼ	shortage
adeesdǫǫh	shot
awos	shoulder
dilwosh	shout
adiwosh	shout
ííshjání alnééh	show
shił ííshjání anilééh	show me
taʼazdigis	shower
táłtłʼááh chʼosh daadánígíí	shrimp
ałhaniníyáh	shrink
daʼdeelkaal	shut
tʼáadoo anilchxį́įdii	shut up
yáshnizin	shy
ił háájééʼ	sibling
ił háájééʼ	siblings
atah hodiniih	sick
atah honeezgai	sick
bíighahjí	side
náhizhdidziih	sigh
ajooʼínígíí	sight
nahgóó naʼagal	sightseeing
bee éédahosinígíí	sign
yizhí alyaaígíí	signature
tʼáá íiyisíí	significant
hodéezyééł	silence
doo íitsʼaí da	silence
hodéezyéél	silent
doo íitsʼaʼí da	silent
naatʼáhí	silk
adilááh	silly
béésh łigaii	silver
benáłtʼé	similar
beʼadilááh	simp
hweʼadilááh	simp
doo nanitłʼah da	simple
tʼáá ałhxąąh áhoonííł	simultaneously
tʼáá anii bee íizhnizinígíí bee yájitiʼ	sincere
ahxéheeʼ	sincerely
baa ahxééhwiinidzin	sincerely
hataał	sing
hataałii	singer
tʼááłáʼí	single
biyiʼ taʼadigizí	sink
Hastiin	Sir
shideezhí shádí	sister
hwaʼayééh	sister in law
asdáh	sit
ahootʼéhígi	site
ahootʼą́hídi	site
biyiʼ ił hoolzhishígíí	situation
hastą́ą́	six
hastą́ą́tsʼáadah	sixteen
hastą́diin	sixty
aniłtsooígíí	size
honaanish ájiłʼínígíí	skill
naanish bee jilínígíí	skills
akágí	skin
ałtsʼóózí	skinny
bitis hodeeshzhiizh	skip
tłʼaakał	skirt
yá	sky
naalteʼí	slave
awosh	sleep
awosh	sleeping
bił jinízin	sleepy
agaanzis	sleeve
bidoolgizh	slice
ilzhoł	slide
tʼáá hazhóóʼígo	slightly
ałtsʼóózí	slim
deeztéél	slip
hodínéeʼą́h	slope
halgizhgo hazʼą́	slot
tʼáá hazhóóʼógo	slow
tʼáá hazhóóʼígo	slowly
ałtsʼíísí	small
ayóo hwił ééhozin	smart
ajiłchinígíí	smell
yidloh	smile
łid	smoke
dilkǫǫh	smooth
yistʼéí	snack
chʼosh	snail
naʼashǫ́ʼii	snake
tʼáá hooshchʼįʼ kʼéʼaltǫʼ	snap
yas	snow
zas	snow
ayóóʼánoolnin	so cute
kʼad hoolzhishdi	so far
nástłééʼ	soak
táláwosh alá bee tánágisígíí	soap
doo adlą́ą da	sober
doo bitah hoozdoh da	sober
jooł nibéʼaleesí	soccer
diné bił naʼadáh	social
diné kééhatʼį́įgi	society
kétiil	socks
dishoh	soft
yilzhóólí	soft
béésh łichíiʼii nitsékeesí bił hadadilyaaígíí	software
łeezh	soil
nahaazniiʼ	sold
ałtsoh nahaazniiʼ	sold out
silaołtsooí	soldier
akétłʼááh	sole
nitłʼiz	solid
bee hazhóʼó ádoolníłígíí	solution
bee hashtʼe hodooníłígíí	solution
hashtʼe nályaa	solve
łaʼ	some
tʼáá háíshį́į́	somebody
haashį́į́ yitʼé	somehow
tʼáá háíshį́į́	someone
tʼáadooleʼé	something
łahda	sometimes
sin	song
hodíinaʼgo	soon
tʼáá íiyisíí bohónéedzą́	sophisticated
nidajildoh	sore
adáyiʼ hodiniih	sore throat
doo iłhózhǫ́ǫ da	sorrow
ałąąh nehaʼnííł	sort
haʼnitáh	sought
haʼdéestʼį́į́ʼ	sought
hwiiʼsizíinii	soul
diné háʼátʼéhígíí	soulmate
diitsʼaʼí	sound
atooʼ	soup
dichʼííʼ	sour
tʼáá haʼátʼííshį́į́ bee ahodooníłígíí	source
shádiʼááh	south
hazʼą́ądi	space
hazʼą́ągi	space
haneʼ doo yáʼátʼéhígíí	spam
hahoozhiizh dóó niléí ałtsohjįʼ	span
Naakai	Spanish
ánásdziid	spare
tʼáá bilááh yidziihígíí	spare
yájiłtiʼ	speak
